z,fgas,logM*,SFR,gas tracer,study,Is fgas an upper limit,logMgas
0.04642,0.1765,10.02,5.62,CO(1-0),Saintonge et al. (2017),0,9.2667
0.04659,0.0101,11.04,0.69,CO(1-0),Saintonge et al. (2017),1,9.0444
0.04666,0.0204,10.9,0.07,CO(1-0),Saintonge et al. (2017),1,9.2098
0.04683,0.1236,10.01,2.17,CO(1-0),Saintonge et al. (2017),1,9.102
0.04685,0.0309,11.18,0.94,CO(1-0),Saintonge et al. (2017),0,9.6703
0.04696,0.1236,10.7,3.61,CO(1-0),Saintonge et al. (2017),0,9.792
0.04704,0.1628,10.43,21.33,CO(1-0),Saintonge et al. (2017),0,9.6416
0.04708,0.1111,10.53,26.85,CO(1-0),Saintonge et al. (2017),0,9.5758
0.04708,0.2048,10.39,7.89,CO(1-0),Saintonge et al. (2017),0,9.7014
0.04709,0.0101,11.02,0.33,CO(1-0),Saintonge et al. (2017),1,9.0244
0.04714,0.0309,10.68,0.13,CO(1-0),Saintonge et al. (2017),1,9.1703
0.04739,0.0309,11,1.28,CO(1-0),Saintonge et al. (2017),0,9.4903
0.04751,0.0526,10.29,1.45,CO(1-0),Saintonge et al. (2017),0,9.0112
0.04763,0.0204,10.81,0.25,CO(1-0),Saintonge et al. (2017),1,9.1198
0.04765,0.0204,10.89,0.04,CO(1-0),Saintonge et al. (2017),1,9.1998
0.04783,0.0989,10.18,0.92,CO(1-0),Saintonge et al. (2017),0,9.1752
0.04785,0.0101,11.04,0.29,CO(1-0),Saintonge et al. (2017),1,9.0444
0.04791,0.0526,10.21,0.37,CO(1-0),Saintonge et al. (2017),0,8.9312
0.04791,0.0101,11.18,0.93,CO(1-0),Saintonge et al. (2017),1,9.1844
0.04795,0.0417,10.78,0.52,CO(1-0),Saintonge et al. (2017),0,9.3998
0.04804,0.0526,11.1,3.41,CO(1-0),Saintonge et al. (2017),0,9.8212
0.04832,0.0204,11.22,1.79,CO(1-0),Saintonge et al. (2017),0,9.5298
0.04834,0.0101,11.2,0.34,CO(1-0),Saintonge et al. (2017),1,9.2044
0.04836,0.0204,10.75,1.1,CO(1-0),Saintonge et al. (2017),1,9.0598
0.04837,0.0417,10.81,1.35,CO(1-0),Saintonge et al. (2017),0,9.4298
0.04838,0.0753,10.23,8.68,CO(1-0),Saintonge et al. (2017),0,9.1066
0.04855,0.0101,11.04,0.25,CO(1-0),Saintonge et al. (2017),1,9.0444
0.04861,0.0989,10.85,3.5,CO(1-0),Saintonge et al. (2017),0,9.8452
0.04864,0.2048,10.01,3.81,CO(1-0),Saintonge et al. (2017),0,9.3214
0.04867,0.1628,10.77,6.84,CO(1-0),Saintonge et al. (2017),0,9.9816
0.04871,0.3699,10.28,9.4,CO(1-0),Saintonge et al. (2017),0,9.848
0.04876,0.0526,11.05,10.13,CO(1-0),Saintonge et al. (2017),0,9.7712
0.04882,0.0204,10.91,0.57,CO(1-0),Saintonge et al. (2017),1,9.2198
0.04889,0.0101,10.99,0.41,CO(1-0),Saintonge et al. (2017),0,8.9944
0.04891,0.0101,11.28,0.83,CO(1-0),Saintonge et al. (2017),1,9.2844
0.04908,0.0204,10.79,1.19,CO(1-0),Saintonge et al. (2017),1,9.0998
0.0491,0.0101,11.45,0.3,CO(1-0),Saintonge et al. (2017),1,9.4544
0.04914,0.0204,11.33,1.74,CO(1-0),Saintonge et al. (2017),0,9.6398
0.04916,0.2048,10.42,20.58,CO(1-0),Saintonge et al. (2017),0,9.7314
0.04921,0.0526,10.91,7.11,CO(1-0),Saintonge et al. (2017),0,9.6312
0.04942,0.0204,10.98,0.62,CO(1-0),Saintonge et al. (2017),0,9.2898
0.04961,0.0204,10.73,0.32,CO(1-0),Saintonge et al. (2017),1,9.0398
0.04965,0.0204,11.32,1.5,CO(1-0),Saintonge et al. (2017),0,9.6298
0.502,1,10.2,31.62,CO(3-2),Tacconi et al. (2018),0,10.2
0.502,0.2048,10.5,7.94,CO(3-2),Tacconi et al. (2018),0,9.8114
0.502,0.25,11.1,19.95,CO(3-2),Tacconi et al. (2018),0,10.4979
0.502,0.1628,10.7,3.98,CO(3-2),Tacconi et al. (2018),0,9.9116
0.503,0.3889,10.3,5.01,CO(3-2),Tacconi et al. (2018),0,9.8898
0.509,0.4925,10.4,10,CO(3-2),Tacconi et al. (2018),0,10.0924
0.509,0.0989,11.3,39.81,CO(3-2),Tacconi et al. (2018),0,10.2952
0.6017,0.1111,10.96,6.8,CO(2-1),Spilker et al. (2018),0,10.0058
0.6544,0.0309,11.38,3.6,CO(2-1),Spilker et al. (2018),0,9.8703
0.6558,0.0526,11.13,5.6,CO(2-1),Spilker et al. (2018),0,9.8512
0.6558,0.0526,11.13,5.6,CO(2-1),Spilker et al. (2018),0,9.8512
0.657,0.0417,11.18,1.4,CO(2-1),Suess et al. (2017),0,9.7998
0.6671,0.087,11,6.5,CO(2-1),Spilker et al. (2018),0,9.9393
0.6772,0.0309,11.49,5.1,CO(2-1),Spilker et al. (2018),0,9.9803
0.714,0.0417,11.13,6.6,CO(2-1),Spilker et al. (2018),0,9.7498
0.733,0.0753,10.96,6.3,CO(2-1),Spilker et al. (2018),0,9.8366
0.747,0.2048,11.23,2.1,CO(2-1),Suess et al. (2017),0,10.5414
0.75,0.1494,10.98,7.9,CO(2-1),Spilker et al. (2018),0,10.1544
0.895,0.3899,10.2,42,CO(3-2) and CO(2-1),Decarli et al. (2016),1,9.791
0.999,0.0329,10.85,40,CO(3-2) and CO(2-1),Decarli et al. (2016),1,9.3666
1,0.3971,10.54,81.28,dust,Scoville et al. (2016),1,10.1389
1.002,1.2727,10.4,31,CO(3-2),Tacconi et al. (2013),0,10.5047
1.01,0.6179,10.59,26.92,dust,Scoville et al. (2016),1,10.381
1.01,0.4344,10.51,12.88,dust,Scoville et al. (2016),1,10.1479
1.01,0.7526,10.58,29.51,dust,Scoville et al. (2016),0,10.4566
1.01,0.8926,10.73,39.81,dust,Scoville et al. (2016),0,10.6807
1.01,0.2095,10.98,63.1,dust,Scoville et al. (2016),0,10.3011
1.012,0.9231,11.08,201,CO(3-2),Tacconi et al. (2013),0,11.0452
1.014,0.7544,11.04,42,CO(3-2),Tacconi et al. (2013),0,10.9176
1.017,1.7778,10.9,150,CO(3-2),Tacconi et al. (2013),0,11.1499
1.02,1.15,10.45,15.49,dust,Scoville et al. (2016),0,10.5107
1.02,0.5,10.45,22.39,dust,Scoville et al. (2016),1,10.149
1.02,0.6103,10.59,42.66,dust,Scoville et al. (2016),1,10.3755
1.023,1.7027,10.61,100,CO(3-2),Tacconi et al. (2013),0,10.8411
1.026,0.4493,10.97,53,CO(3-2),Tacconi et al. (2013),0,10.6225
1.03,0.2835,10.9,32.36,dust,Scoville et al. (2016),1,10.3526
1.03,0.0823,11.46,87.1,dust,Scoville et al. (2016),1,10.3754
1.031,0.7544,10.64,55,CO(3-2),Tacconi et al. (2013),0,10.5176
1.037,1.2727,10.87,351,CO(3-2),Tacconi et al. (2013),0,10.9747
1.037,0.3333,11.08,18,CO(1-0),Aravena et al. (2019),0,10.6029
1.04,0.365,10.6,25.12,dust,Scoville et al. (2016),1,10.1623
1.04,1.7385,10.89,151.36,dust,Scoville et al. (2016),0,11.1302
1.04,0.7368,10.88,144.54,dust,Scoville et al. (2016),0,10.7474
1.052,1.381,10.6,35,CO(3-2),Tacconi et al. (2013),0,10.7402
1.087,0.2658,10.45,25,CO(1-0),Aravena et al. (2019),0,9.8746
1.088,0.4786,10.45,23,CO(3-2) and CO(2-1),Decarli et al. (2016),0,10.1299
1.09,0.575,10.64,43.65,dust,Scoville et al. (2016),1,10.3997
1.094,0.3333,10.88,16,CO(3-2) and CO(2-1),Decarli et al. (2016),0,10.4029
1.095,1,10.57,34,CO(1-0),Aravena et al. (2019),0,10.57
1.096,3.1667,9.7,62,CO(1-0),Aravena et al. (2019),0,10.2006
1.096,0.7857,10.18,10,CO(1-0),Aravena et al. (2019),0,10.0753
1.096,0.7544,10.11,8,CO(1-0),Aravena et al. (2019),0,9.9876
1.098,0.6393,10.61,27,CO(1-0),Aravena et al. (2019),0,10.4157
1.098,2.5862,9.76,44,CO(3-2) and CO(2-1),Decarli et al. (2016),0,10.1727
1.099,0.6949,10.92,63,CO(3-2),Tacconi et al. (2013),0,10.7619
1.105,0.9608,10.83,35,CO(3-2),Tacconi et al. (2013),0,10.8126
1.105,0.8182,10.82,47,CO(3-2),Tacconi et al. (2013),0,10.7328
1.11,0.673,11.2,91.2,dust,Scoville et al. (2016),0,11.028
1.115,0.6129,11.18,87,CO(3-2),Tacconi et al. (2013),0,10.9674
1.119,1.381,11.04,137,CO(3-2),Tacconi et al. (2013),0,11.1802
1.12,0.4,10.72,15.85,dust,Scoville et al. (2016),1,10.3221
1.13,0.9636,10.64,165.96,dust,Scoville et al. (2016),0,10.6239
1.14,1.7319,10.86,56.23,dust,Scoville et al. (2016),0,11.0985
1.145,3.7619,10.97,630,CO(3-2),Tacconi et al. (2013),0,11.5454
1.15,3.8143,10.45,91.2,dust,Scoville et al. (2016),0,11.0314
1.15,2.047,10.82,275.42,dust,Scoville et al. (2016),0,11.1311
1.159,0.6129,10.41,89,CO(3-2),Tacconi et al. (2013),0,10.1974
1.16,1.439,10.72,94,CO(3-2),Tacconi et al. (2013),0,10.8781
1.16,0.6824,10.93,75.86,dust,Scoville et al. (2016),0,10.764
1.16,3.6257,10.54,117.49,dust,Scoville et al. (2016),0,11.0994
1.16,0.8487,10.59,128.82,dust,Scoville et al. (2016),0,10.5188
1.16,2.5972,10.56,218.78,dust,Scoville et al. (2016),0,10.9745
1.168,0.2821,11.08,35,CO(3-2),Tacconi et al. (2013),0,10.5303
1.17,1.0578,10.92,141.25,dust,Scoville et al. (2016),0,10.9444
1.173,0.4085,11.04,52,CO(3-2),Tacconi et al. (2013),0,10.6511
1.18,0.8519,11.11,88,CO(3-2),Tacconi et al. (2013),0,11.0404
1.18,0.5752,11.02,89.13,dust,Scoville et al. (2016),0,10.7798
1.18,0.6649,11.27,134.9,dust,Scoville et al. (2016),0,11.0927
1.18,0.992,11.05,154.88,dust,Scoville et al. (2016),0,11.0465
1.19,1.05,10.58,29.51,dust,Scoville et al. (2016),0,10.6012
1.19,0.5231,10.72,30.2,dust,Scoville et al. (2016),0,10.4386
1.19,1.9592,10.88,173.78,dust,Scoville et al. (2016),0,11.1721
1.19,0.9237,10.88,123.03,dust,Scoville et al. (2016),0,10.8455
1.192,1.0833,10.48,60,CO(3-2),Tacconi et al. (2013),0,10.5148
1.2,1.3054,10.87,75.86,dust,Scoville et al. (2016),0,10.9857
1.2,0.4049,10.61,58.88,dust,Scoville et al. (2016),1,10.2173
1.2,1.247,10.92,141.25,dust,Scoville et al. (2016),0,11.0159
1.2,0.8509,11.35,275.42,dust,Scoville et al. (2016),0,11.2799
1.2,0.6603,11.1,128.82,dust,Scoville et al. (2016),0,10.9198
1.2,0.4947,11.31,302,dust,Scoville et al. (2016),0,11.0043
1.21,3.2769,10.59,69.18,dust,Scoville et al. (2016),0,11.1055
1.21,1.7394,10.85,190.55,dust,Scoville et al. (2016),0,11.0904
1.22,0.4983,10.78,27.54,dust,Scoville et al. (2016),0,10.4775
1.22,0.2442,10.98,223.87,dust,Scoville et al. (2016),1,10.3678
1.221,0.6623,10.18,148,CO(3-2) and CO(2-1),Decarli et al. (2016),0,10.001
1.227,0.1111,11,71,CO(3-2),Tacconi et al. (2013),0,10.0458
1.229,0.6667,10.72,82,CO(3-2),Tacconi et al. (2013),0,10.5439
1.23,1.2222,11.23,200,CO(3-2),Tacconi et al. (2013),0,11.3172
1.23,1.2222,11,107.15,dust,Scoville et al. (2016),0,11.0872
1.24,0.1698,11.33,74.13,dust,Scoville et al. (2016),0,10.56
1.24,0.2269,11.27,58.88,dust,Scoville et al. (2016),0,10.6258
1.24,0.5169,11.22,123.03,dust,Scoville et al. (2016),0,10.9334
1.241,1.0833,11.11,113,CO(3-2),Tacconi et al. (2013),0,11.1448
1.25,0.3863,11.14,81.28,dust,Scoville et al. (2016),0,10.727
1.25,0.3373,10.88,131.83,dust,Scoville et al. (2016),0,10.4081
1.26,0.559,10.59,60.26,dust,Scoville et al. (2016),1,10.3374
1.26,2.3082,10.79,144.54,dust,Scoville et al. (2016),0,11.1533
1.294,0.3889,10.32,11,CO(1-0),Aravena et al. (2019),0,9.9098
1.3,0.2097,11.09,263.03,dust,Scoville et al. (2016),1,10.4116
1.3,1.7048,10.62,446.68,dust,Scoville et al. (2016),0,10.8517
1.31,1,11.08,75,dust,Franco et al. (2020),0,11.08
1.317,1,10.95,148,CO(3-2),Tacconi et al. (2013),0,10.95
1.317,1.439,10.45,28,CO(3-2),Tacconi et al. (2013),0,10.6081
1.317,0.3333,11.19,11,CO(1-0),Aravena et al. (2019),0,10.7129
1.32,5.5171,10.54,109.65,dust,Scoville et al. (2016),0,11.2817
1.35,0.9608,10.64,87,CO(3-2),Tacconi et al. (2013),0,10.6226
1.351,0.5873,10.77,115,CO(3-2),Tacconi et al. (2013),0,10.5389
1.36,0.4656,10.98,213.8,dust,Scoville et al. (2016),0,10.648
1.36,2.9182,10.34,229.09,dust,Scoville et al. (2016),0,10.8051
1.37,1.1859,11.11,128.82,dust,Scoville et al. (2016),0,11.1841
1.374,1.1277,10.66,113,CO(3-2),Tacconi et al. (2013),0,10.7122
1.379,2.7037,10.61,163,CO(3-2),Tacconi et al. (2013),0,11.042
1.382,0.3889,10.68,35,CO(1-0),Aravena et al. (2019),0,10.2698
1.382,0.3112,10.72,18,CO(3-2) and CO(2-1),Decarli et al. (2016),0,10.213
1.393,0.6667,10.59,55,CO(3-2),Tacconi et al. (2013),0,10.4139
1.398,0.8519,10.78,78,CO(3-2),Tacconi et al. (2013),0,10.7104
1.41,0.784,11.36,190.55,dust,Scoville et al. (2016),0,11.2543
1.411,0.7241,10.21,17.5,dust,Saintonge et al. (2013),0,10.0698
1.414,1.6316,10.59,148,CO(2-1),Hayashi et al. (2018),0,10.8026
1.414,0.5873,11.26,61,CO(1-0),Aravena et al. (2019),0,11.0289
1.4277,0.0989,11.57,10,CO(2-1),Sargent et al. (2015),1,10.5652
1.435,0.3158,10.72,61,CO(3-2),Tacconi et al. (2013),0,10.2194
1.44,0.8182,10.82,86,CO(3-2),Tacconi et al. (2013),0,10.7328
1.442,0.8519,10.97,183,CO(3-2),Tacconi et al. (2013),0,10.9004
1.445,6.6923,10.17,54,CO(2-1),Hayashi et al. (2018),0,10.9956
1.4451,0.5152,10.61,783,CO(2-1) and CO(3-2),Silverman et al. (2015),0,10.3219
1.45,0.7857,10.53,31,CO(2-1),Hayashi et al. (2018),0,10.4253
1.451,3.5455,10.26,17,CO(2-1),Hayashi et al. (2018),0,10.8097
1.451,0.3514,10.96,3,CO(2-1),Hayashi et al. (2018),0,10.5057
1.452,0.7241,10.91,35,CO(2-1),Hayashi et al. (2018),0,10.7698
1.453,0.9608,11.05,25,CO(2-1),Hayashi et al. (2018),0,11.0326
1.454,2.5714,10.6,72,CO(2-1),Hayashi et al. (2018),0,11.0102
1.457,1.7027,10.76,105,CO(2-1),Hayashi et al. (2018),0,10.9911
1.459,1.2727,10.52,62,CO(2-1),Hayashi et al. (2018),0,10.6247
1.46,2.3333,10.39,123,CO(2-1),Hayashi et al. (2018),0,10.758
1.4631,0.8519,10.86,517,CO(2-1) and CO(3-2),Silverman et al. (2015),0,10.7904
1.465,3,10.56,28,CO(2-1),Hayashi et al. (2018),0,11.0371
1.465,2.7037,10.49,37,CO(2-1),Hayashi et al. (2018),0,10.922
1.465,1.9412,10.6,103,CO(2-1),Hayashi et al. (2018),0,10.8881
1.466,11.5,10.91,35,CO(2-1),Hayashi et al. (2018),0,11.9707
1.466,0.9608,10.59,6,CO(2-1),Hayashi et al. (2018),0,10.5726
1.467,0.9231,11.08,145,CO(2-1),Hayashi et al. (2018),0,11.0452
1.467,1.381,10.36,48,CO(2-1),Hayashi et al. (2018),0,10.5002
1.468,0.3333,11.03,47,CO(2-1),Hayashi et al. (2018),0,10.5529
1.471,1.6316,10.78,21,CO(2-1),Hayashi et al. (2018),0,10.9926
1.522,1.381,10.63,152,CO(1-0),Daddi et al. (2010),0,10.7702
1.5223,0.0753,11.2,27.3,CO(2-1),Bezanson et al. (2019),1,10.0766
1.523,1.0408,10.89,220,CO(1-0),Daddi et al. (2010),0,10.9074
1.529,2.125,11.08,373,CO(3-2),Tacconi et al. (2013),0,11.4074
1.55,0.2987,11.51,62,CO(1-0),Aravena et al. (2019),0,10.9852
1.551,0.2364,11.44,74,CO(3-2) and CO(2-1),Decarli et al. (2016),0,10.8136
1.5656,0.4085,10.67,358,CO(2-1) and CO(3-2),Silverman et al. (2015),0,10.2811
1.6,1.0833,11.04,400,CO(1-0),Daddi et al. (2010),0,11.0748
1.62,1.6316,10.91,557,dust,Franco et al. (2020),0,11.1226
1.624,0.8182,11.14,155.6,CO(1-0),Rudnick et al. (2017),0,11.0528
1.629,0.2048,11.22,12,CO(1-0),Rudnick et al. (2017),0,10.5314
1.6481,1.0833,10.28,358,CO(2-1) and CO(3-2),Silverman et al. (2015),0,10.3148
1.6483,1.0833,10.44,554,CO(2-1) and CO(3-2),Silverman et al. (2015),0,10.4748
1.6557,0.4706,10.29,139,CO(2-1) and CO(3-2),Silverman et al. (2015),0,9.9626
1.76,0.1628,10.78,2.64,see section 3,Gobat et al. (2018),0,9.9916
1.8,2.1568,11.25,691.83,dust,Scoville et al. (2016),0,11.5838
1.84,0.5576,11.42,199.53,dust,Scoville et al. (2016),0,11.1663
1.883,0.068,10.87,8.8,dust,Caliendo et al. (2021),1,9.7025
1.91,0.8,10.38,123.03,dust,Scoville et al. (2016),1,10.2831
1.92,1.5554,11.31,575.44,dust,Scoville et al. (2016),0,11.5018
1.93,1.2267,11.16,707.95,dust,Scoville et al. (2016),0,11.2487
1.95,0.6129,11.53,867,dust,Franco et al. (2020),0,11.3174
1.956,0.6949,11.19,399,dust,Franco et al. (2020),0,11.0319
2,0.6813,10.51,64.57,dust,Scoville et al. (2016),0,10.3433
2.001,0.2346,10.39,44.4,dust,Saintonge et al. (2013),0,9.7603
2.01,0.5266,10.9,123.03,dust,Scoville et al. (2016),0,10.6215
2.01,1.0333,10.73,190.55,dust,Scoville et al. (2016),0,10.7442
2.03,2.2111,10.43,66.07,dust,Scoville et al. (2016),0,10.7746
2.04,0.4403,11.42,229.09,dust,Scoville et al. (2016),0,11.0638
2.04,1.2148,10.73,346.74,dust,Scoville et al. (2016),0,10.8145
2.05,0.9565,11.37,257.04,dust,Scoville et al. (2016),0,11.3507
2.07,1.9775,10.6,102.33,dust,Scoville et al. (2016),0,10.8961
2.085,1.1739,10.2,22,dust,Zavala et al. (2019),1,10.2696
2.0857,6.1429,11.08,30,dust,Zavala et al. (2019),1,11.8684
2.0859,0.8519,10.41,154,dust,Zavala et al. (2019),1,10.3404
2.088,0.5873,11.42,113,dust,Zavala et al. (2019),0,11.1889
2.0891,0.1765,11.02,61,dust,Zavala et al. (2019),1,10.2667
2.0893,6.1429,9.6,40,dust,Zavala et al. (2019),1,10.3884
2.0899,0.8519,10.32,38,dust,Zavala et al. (2019),1,10.2504
2.09,1.2727,10.2,65,dust,Zavala et al. (2019),1,10.3047
2.09,0.5969,11.11,239.88,dust,Scoville et al. (2016),0,10.8859
2.0902,1.5641,10.08,134,dust,Zavala et al. (2019),1,10.2743
2.0903,0.2987,11.05,60,dust,Zavala et al. (2019),0,10.5252
2.0908,1.7027,10.83,361,dust,Zavala et al. (2019),0,11.0611
2.0914,0.9608,10.3,54,dust,Zavala et al. (2019),1,10.2826
2.0917,4.8824,9.60205999132796,30,dust,Zavala et al. (2019),1,10.2907
2.092,19,9,20,dust,Zavala et al. (2019),1,10.2788
2.0922,5.25,9.7,6,dust,Zavala et al. (2019),0,10.4202
2.0922,0.1905,10.43,6,dust,Zavala et al. (2019),0,9.7098
2.0924,3,10.11,44,dust,Zavala et al. (2019),1,10.5871
2.0937,0.0753,11.47,140,dust,Zavala et al. (2019),1,10.3466
2.0943,19,9,7,dust,Zavala et al. (2019),1,10.2788
2.095,13.2857,9.3,32,dust,Zavala et al. (2019),1,10.4234
2.0951,0.8519,10.48,34,dust,Zavala et al. (2019),0,10.4104
2.0961,6.1429,9.48,25,dust,Zavala et al. (2019),1,10.2684
2.0962,0.7544,10.32,113,dust,Zavala et al. (2019),1,10.1976
2.0973,4.2632,9.6,27,dust,Zavala et al. (2019),1,10.2297
2.0976,3,9.9,13,dust,Zavala et al. (2019),1,10.3771
2.0978,13.2857,9.48,17,dust,Zavala et al. (2019),1,10.6034
2.0978,0.7241,10.41,3,dust,Zavala et al. (2019),1,10.2698
2.0979,15.6667,9,11,dust,Zavala et al. (2019),0,10.195
2.0981,0.3333,11,65,dust,Zavala et al. (2019),0,10.5229
2.0985,0.4286,10.6,45,dust,Zavala et al. (2019),1,10.232
2.0986,0.9608,10.43,94,dust,Zavala et al. (2019),0,10.4126
2.0986,3.1667,9.9,24,dust,Zavala et al. (2019),1,10.4006
2.0988,0.3158,11.22,91,dust,Zavala et al. (2019),0,10.7194
2.1,1.8624,11.2,1258.93,dust,Scoville et al. (2016),0,11.4701
2.1001,1.2727,10.18,55,dust,Zavala et al. (2019),1,10.2847
2.1014,0.3333,10.78,46,dust,Zavala et al. (2019),1,10.3029
2.1019,0.8519,10.72,50,dust,Zavala et al. (2019),0,10.6504
2.1021,0.7857,11.26,132,dust,Zavala et al. (2019),0,11.1553
2.1027,1.1277,10.43,52,dust,Zavala et al. (2019),1,10.4822
2.104,0.087,11.29,21,dust,Zavala et al. (2019),1,10.2293
2.1043,1.2222,11.49,612,dust,Zavala et al. (2019),0,11.5772
2.1056,4.8824,9.78,58,dust,Zavala et al. (2019),1,10.4686
2.109,1.3256,10.2,36,dust,Zavala et al. (2019),1,10.3224
2.11,2.5364,10.52,194.98,dust,Scoville et al. (2016),0,10.9242
2.11,1.37,11.45,380.19,dust,Scoville et al. (2016),0,11.5867
2.12,2.25,10.86,660.69,dust,Scoville et al. (2016),0,11.2122
2.13,1.5949,10.9,177.83,dust,Scoville et al. (2016),0,11.1027
2.14,0.5105,10.58,125.89,dust,Scoville et al. (2016),1,10.288
2.15,1.1739,11.17,413,dust,Franco et al. (2020),0,11.2396
2.15,0.2286,10.92,128.82,dust,Scoville et al. (2016),1,10.279
2.15,1.2123,11.29,524.81,dust,Scoville et al. (2016),0,11.3736
2.16,1.931,10.94,251.19,dust,Scoville et al. (2016),0,11.2258
2.17,0.4925,10.84,235,CO(3-2),Tacconi et al. (2010),0,10.5324
2.17,0.14,10.7,210,CO(3-2),Tacconi et al. (2008),1,9.8461
2.17,0.8654,10.41,50.12,dust,Scoville et al. (2016),1,10.3472
2.17,0.2345,10.92,346.74,dust,Scoville et al. (2016),1,10.2902
2.18,0.6949,11.18,92,CO(3-2),Tacconi et al. (2010),0,11.0219
2.18,0.175,10.6,290,CO(3-2),Tacconi et al. (2008),1,9.843
2.18,2.7085,11.03,389.05,dust,Scoville et al. (2016),0,11.4627
2.1869,0.3889,10.88,581,CO(2-1) and CO(3-2),Silverman et al. (2015),0,10.4698
2.19,1.0408,10.76,97,CO(3-2),Tacconi et al. (2010),0,10.7774
2.19,0.4706,10.88,62,CO(3-2),Tacconi et al. (2010),0,10.5526
2.2,0.3333,11.08,900,CO(3-2),Tacconi et al. (2008),0,10.6029
2.2,0.6543,10.54,72.44,dust,Scoville et al. (2016),1,10.3558
2.21,1.3256,11.23,14,CO(3-2),Tacconi et al. (2010),0,11.3524
2.21,2.0785,10.81,501.19,dust,Scoville et al. (2016),0,11.1277
2.21,2.1732,11.09,501.19,dust,Scoville et al. (2016),0,11.4271
2.22,2.6947,10.88,162.18,dust,Scoville et al. (2016),0,11.3105
2.22,1.0888,11.37,281.84,dust,Scoville et al. (2016),0,11.4069
2.224,1.5833,10.08,22,CO(3-2) and CO(2-1),Decarli et al. (2016),1,10.2796
2.225,0.2658,11.4,468,dust,Franco et al. (2020),0,10.8246
2.23,0.2145,11.04,169.82,dust,Scoville et al. (2016),0,10.3715
2.234,0.0989,11.11,400,CO(1-0),Spilker et al. (2016),0,10.1052
2.25,5.3647,10.23,89.13,dust,Scoville et al. (2016),0,10.9595
2.256,1.3256,11.49,608.3,dust,Saintonge et al. (2013),0,11.6124
2.28,0.6226,10.49,52.48,dust,Scoville et al. (2016),1,10.2842
2.28,4.075,10.51,218.78,dust,Scoville et al. (2016),0,11.1201
2.29,0.5625,11.28,141,CO(3-2),Tacconi et al. (2010),0,11.0301
2.29,4.1361,10.86,478.63,dust,Scoville et al. (2016),0,11.4766
2.3,0.9949,10.89,199.53,dust,Scoville et al. (2016),0,10.8878
2.3,0.36,10.88,323.59,dust,Scoville et al. (2016),0,10.4363
2.3,0.7992,11.11,295.12,dust,Scoville et al. (2016),0,11.0127
2.3,5.5314,10.93,562.34,dust,Scoville et al. (2016),0,11.6728
2.3,2.3347,10.69,363.08,dust,Scoville et al. (2016),0,11.0582
2.3,3.6069,11.24,812.83,dust,Scoville et al. (2016),0,11.7971
2.301,0.1364,11,150,CO(1-0),Spilker et al. (2016),0,10.1347
2.309,1.3256,11.15,1110,dust,Franco et al. (2020),0,11.2724
2.31,1.246,10.7,85.11,dust,Scoville et al. (2016),0,10.7955
2.32,1.1211,11.42,467.74,dust,Scoville et al. (2016),0,11.4697
2.326,8.0909,10.34,155.9,dust,Saintonge et al. (2013),0,11.248
2.33,2.7037,10.76,127,CO(3-2),Tacconi et al. (2010),0,11.192
2.33,2.8904,10.72,213.8,dust,Scoville et al. (2016),0,11.181
2.34,3.5455,11.18,382,CO(3-2),Tacconi et al. (2010),0,11.7297
2.34,0.6667,11.38,117,CO(3-2),Tacconi et al. (2010),0,11.2039
2.34,1.0939,10.91,102.33,dust,Scoville et al. (2016),0,10.949
2.34,2.9581,10.49,588.84,dust,Scoville et al. (2016),0,10.961
2.35,1.4486,10.86,870.96,dust,Scoville et al. (2016),0,11.021
2.36,2.7037,10.57,536,dust,Franco et al. (2020),0,11.002
2.36,0.9231,11.26,264,dust,Franco et al. (2020),0,11.2252
2.36,2.9905,11.23,478.63,dust,Scoville et al. (2016),0,11.7057
2.37,1.3063,10.2,194.98,dust,Scoville et al. (2016),1,10.316
2.379,0.6667,10.3,37.3,dust,Saintonge et al. (2013),0,10.1239
2.38,0.05,11,200,CO(3-2),Tacconi et al. (2008),1,9.699
2.39,0.2957,11.36,900,CO(3-2),Tacconi et al. (2008),0,10.8308
2.39,0.6057,11.2,165.96,dust,Scoville et al. (2016),0,10.9822
2.41,0.5873,11.25,801,dust,Franco et al. (2020),0,11.0189
2.42,5.5028,11.16,660.69,dust,Scoville et al. (2016),0,11.9006
2.43,0.7241,10.84,131,CO(3-2),Tacconi et al. (2010),0,10.6998
2.43,0.9381,10.32,75.86,dust,Scoville et al. (2016),1,10.2922
2.447,8.0769,9.41,11.8,CO(3-2) and CO(2-1),Decarli et al. (2016),1,10.3172
2.45,0.2658,11.38,415,dust,Franco et al. (2020),0,10.8046
2.45,0.22,11.4,1100,CO(3-2),Tacconi et al. (2008),0,10.7424
2.453,2.2258,10.7,68,CO(1-0),Aravena et al. (2019),0,11.0475
2.4571,2.125,9.85,32,dust,Zavala et al. (2019),1,10.1774
2.463,0.6129,10.38,62,dust,Zavala et al. (2019),1,10.1674
2.466,0.5873,10.43,50,dust,Zavala et al. (2019),1,10.1989
2.467,1.0833,10.18,46,dust,Zavala et al. (2019),1,10.2148
2.468,19,9,18,dust,Zavala et al. (2019),1,10.2788
2.469,0.1111,11.08,190,CO(1-0),Spilker et al. (2016),0,10.1258
2.4709,2.0303,9.9,72,dust,Zavala et al. (2019),1,10.2076
2.471,1.381,10.15,53,dust,Zavala et al. (2019),1,10.2902
