z,fgas,logM*,SFR,gas tracer,study,Is fgas an upper limit,logMgas
0.02879,0.0309,10.09,0.05,CO(1-0),Saintonge et al. (2017),1,8.5803
0.02881,0.0101,10.83,0.13,CO(1-0),Saintonge et al. (2017),1,8.8344
0.02886,0.0753,10.69,2.35,CO(1-0),Saintonge et al. (2017),0,9.5666
0.02888,0.0309,10.24,0.05,CO(1-0),Saintonge et al. (2017),1,8.7303
0.02897,0.0101,10.66,0.2,CO(1-0),Saintonge et al. (2017),1,8.6644
0.02903,0.0309,10.27,0.03,CO(1-0),Saintonge et al. (2017),1,8.7603
0.02912,0.0101,10.78,0.26,CO(1-0),Saintonge et al. (2017),0,8.7844
0.02912,0.0101,10.61,0.04,CO(1-0),Saintonge et al. (2017),1,8.6144
0.0292,0.0309,10.19,0.46,CO(1-0),Saintonge et al. (2017),0,8.6803
0.02922,0.0417,10.02,0.74,CO(1-0),Saintonge et al. (2017),0,8.6398
0.02928,0.0638,10.48,1.13,CO(1-0),Saintonge et al. (2017),0,9.285
0.02931,0.1236,10.32,6.85,CO(1-0),Saintonge et al. (2017),0,9.412
0.02942,0.0204,10.46,0.02,CO(1-0),Saintonge et al. (2017),1,8.7698
0.0296,0.1111,10.37,3.4,CO(1-0),Saintonge et al. (2017),0,9.4158
0.02962,0.1111,10.12,2.53,CO(1-0),Saintonge et al. (2017),0,9.1658
0.02962,0.1905,10.11,2.42,CO(1-0),Saintonge et al. (2017),0,9.3898
0.02963,0.1494,10.31,4,CO(1-0),Saintonge et al. (2017),0,9.4844
0.02972,0.0204,10.48,0.09,CO(1-0),Saintonge et al. (2017),1,8.7898
0.0298,0.0638,10.78,1.94,CO(1-0),Saintonge et al. (2017),0,9.585
0.02987,0.0753,10.2,0.81,CO(1-0),Saintonge et al. (2017),0,9.0766
0.02989,0.1111,10.25,0.6,CO(1-0),Saintonge et al. (2017),0,9.2958
0.02991,0.0309,10.67,0.66,CO(1-0),Saintonge et al. (2017),0,9.1603
0.03009,0.0309,10.11,0.06,CO(1-0),Saintonge et al. (2017),1,8.6003
0.03026,0.0753,10.01,1.28,CO(1-0),Saintonge et al. (2017),0,8.8866
0.03034,0.0526,10.89,0.62,CO(1-0),Saintonge et al. (2017),0,9.6112
0.03053,0.1364,10.13,2.03,CO(1-0),Saintonge et al. (2017),0,9.2647
0.03074,0.0309,10.33,0.64,CO(1-0),Saintonge et al. (2017),1,8.8203
0.03075,0.0309,10.29,0.05,CO(1-0),Saintonge et al. (2017),1,8.7803
0.03077,0.0753,10.68,1.52,CO(1-0),Saintonge et al. (2017),0,9.5566
0.03085,0.0526,10.03,0.03,CO(1-0),Saintonge et al. (2017),1,8.7512
0.0311,0.0101,11.17,0.29,CO(1-0),Saintonge et al. (2017),1,9.1744
0.03119,0.0417,10.57,1.93,CO(1-0),Saintonge et al. (2017),0,9.1898
0.03138,0.087,10.62,1.89,CO(1-0),Saintonge et al. (2017),0,9.5593
0.03142,0.0204,10.32,0.62,CO(1-0),Saintonge et al. (2017),1,8.6298
0.03144,0.4925,10.03,5.29,CO(1-0),Saintonge et al. (2017),0,9.7224
0.03155,0.25,10.06,4.29,CO(1-0),Saintonge et al. (2017),0,9.4579
0.03163,0.0204,10.38,0.58,CO(1-0),Saintonge et al. (2017),0,8.6898
0.03166,0.1236,10.99,3.75,CO(1-0),Saintonge et al. (2017),0,10.082
0.03174,0.0526,10.24,0.11,CO(1-0),Saintonge et al. (2017),0,8.9612
0.03178,0.0417,10.54,1.46,CO(1-0),Saintonge et al. (2017),0,9.1598
0.03179,0.0101,11.08,1.79,CO(1-0),Saintonge et al. (2017),0,9.0844
0.03184,0.1364,10.06,1.94,CO(1-0),Saintonge et al. (2017),0,9.1947
0.03197,0.0417,10.12,1.37,CO(1-0),Saintonge et al. (2017),0,8.7398
0.03198,0.0309,10.34,0.03,CO(1-0),Saintonge et al. (2017),1,8.8303
0.03209,0.1905,10.36,5.41,CO(1-0),Saintonge et al. (2017),0,9.6398
0.03223,0.0101,11.27,0.37,CO(1-0),Saintonge et al. (2017),1,9.2744
0.03232,0.0309,10.54,0.27,CO(1-0),Saintonge et al. (2017),0,9.0303
